Pt. no.,Code,Northing,Easting,Elevation
133,GD,2932555.352,423613.911,127.886
134,GD,2932544.337,423617.779,127.746
135,GD,2932534.316,423607.5,127.756
136,GD,2932528.09,423594.808,127.765
137,GD,2932536.446,423599.317,127.868
138,GD,2932536.753,423587.486,127.785
139,GD,2932548.662,423607.359,127.907
140,GD,2932555.807,423609.162,127.916
141,GD,2932562.162,423614.162,127.911
142,GD,2932569.357,423624.888,127.923
143,GD,2932579.074,423640.301,128.009
144,GD,2932579.901,423654.164,128.006
145,GD,2932583.652,423661.279,128.058
146,GD,2932569.998,423661.989,127.875
147,GD,2932559.163,423660.553,127.865
148,GD,2932550.144,423657.685,127.849
149,GD,2932549.694,423645.416,127.843
150,GD,2932544.042,423636.739,127.923
151,GD,2932544.257,423627.16,127.959
211,GD,2932548.603,423708.356,128.025
212,GD,2932543.626,423713.189,128.001
213,GD,2932535.963,423708.588,127.992
214,GD,2932528.125,423710.008,127.971
231,GD,2932549.069,423715.764,127.996
232,GD,2932541.466,423713.245,127.967
233,GD,2932544.646,423707.572,127.995
234,GD,2932552.381,423704.449,128.026
235,GD,2932535.871,423707.61,127.963
236,GD,2932527.185,423716.021,127.955
258,GD,2932514.889,423713.798,127.931
259,GD,2932520.152,423710.976,127.922
287,GD,2932517.652,423639.238,127.721
288,GD,2932523.325,423637.205,127.667
289,GD,2932523.19,423641.336,127.742
290,GD,2932517.175,423635.799,127.709
291,GD,2932513.096,423632.158,127.748
292,GD,2932509.973,423633.932,127.905
293,GD,2932505.416,423632.333,127.869
294,GD,2932506.358,423628.93,127.778
295,GD,2932502.874,423624.309,127.712
296,GD,2932498.471,423625.797,127.75
339,GD,2932486.57,423602.837,127.785
340,GD,2932486.35,423596.786,127.794
341,GD,2932477.717,423594.754,127.811
342,GD,2932474.776,423589.019,127.86
343,GD,2932477.554,423584.819,127.869
344,GD,2932482.257,423587.988,127.824
345,GD,2932481.852,423580.865,127.887
346,GD,2932486.904,423582.462,127.806
347,GD,2932486.513,423572.54,127.904
348,GD,2932481.956,423570.5,127.916
351,GD,2932494.488,423576.998,127.811
352,GD,2932497.571,423572.112,127.867
353,GD,2932495.393,423568.778,127.963
354,GD,2932487.03,423566.23,128.058
355,GD,2932480.515,423569.353,127.896
356,GD,2932475.699,423567.613,127.892
357,GD,2932477.645,423576.348,127.863
416,GD,2932517.609,423571.847,127.792
417,GD,2932520.697,423577.249,127.809
418,GD,2932523.295,423583.034,127.849
419,GD,2932525.959,423581.97,127.83
423,GD,2932515.598,423582.83,127.81
424,GD,2932507.972,423579.149,127.812
425,GD,2932507.741,423574.351,127.905
426,GD,2932502.867,423571.023,127.912
195,GD,2932562.667,423642.105,127.877
196,GD,2932553.107,423640.631,127.852
197,GD,2932545.109,423647.226,127.842
198,GD,2932530.24,423655.01,127.884
199,GD,2932525.045,423666.066,127.879
200,GD,2932527.846,423678.543,127.868
201,GD,2932535.205,423684.335,127.873
202,GD,2932543.4,423671.896,127.853
203,GD,2932541.408,423661.145,127.847
204,GD,2932552.108,423659.964,127.892
205,GD,2932516.48,423651.548,127.918
206,GD,2932511.966,423664.533,127.921
207,GD,2932510.462,423676.33,127.928
208,GD,2932514.803,423686.405,127.935
93,GD,2932498.227,423660.965,128.864
94,GD,2932504.103,423654.069,129.035
95,GD,2932512.913,423645.797,128.367
96,GD,2932512.147,423642.148,128.364
97,GD,2932512.031,423642.096,128.364
98,GD,2932497.321,423628.912,127.956
99,GD,2932496.898,423636.37,129.293
100,GD,2932493.407,423643.689,130.908
101,GD,2932492.383,423652.496,129.859
